Dstar,a0/b0,a/b,b/h,kx_0,error,material,ply_angle,nx,ny
0.8315896769136139,0.2994654340857626,0.3230769230769231,185.18819247354864,47.16500762307934,1.4595547430935437e-58,E-Glass-Epoxy,39.9163249519086,30,92
0.8315896769136139,0.4135475042136721,0.4461538461538461,185.18819247354864,26.182558179751116,5.353201572602992e-54,E-Glass-Epoxy,39.9163249519086,30,67
0.8315896769136139,0.5276295743415816,0.5692307692307692,185.18819247354864,17.53591030115896,3.472120730014272e-57,E-Glass-Epoxy,39.9163249519086,30,52
0.8315896769136139,0.6417116444694912,0.6923076923076923,185.18819247354864,13.37028026076107,2.1296505083701047e-68,E-Glass-Epoxy,39.9163249519086,30,43
0.8315896769136139,0.7557937145974007,0.8153846153846154,185.18819247354864,11.244731137948579,1.1093413438463833e-64,E-Glass-Epoxy,39.9163249519086,30,36
0.8315896769136139,0.8698757847253102,0.9384615384615383,185.18819247354864,10.192824162875143,5.513059930189038e-65,E-Glass-Epoxy,39.9163249519086,30,31
0.8315896769136139,0.9839578548532198,1.0615384615384615,185.18819247354864,9.748262601290337,6.5304899738617725e-68,E-Glass-Epoxy,39.9163249519086,31,30
0.8315896769136139,1.0980399249811295,1.1846153846153846,185.18819247354864,9.62934275464102,5.7799777318872924e-64,E-Glass-Epoxy,39.9163249519086,35,30
0.8315896769136139,1.2121219951090387,1.3076923076923075,185.18819247354864,9.146906547882079,1.6635829255969016e-72,E-Glass-Epoxy,39.9163249519086,39,30
0.8315896769136139,1.3262040652369484,1.4307692307692306,185.18819247354864,8.514830693235474,1.4080888558232257e-67,E-Glass-Epoxy,39.9163249519086,42,30
0.8315896769136139,1.440286135364858,1.5538461538461537,185.18819247354864,8.112712765455042,4.445668033241518e-62,E-Glass-Epoxy,39.9163249519086,46,30
0.8315896769136139,1.5543682054927677,1.676923076923077,185.18819247354864,7.877183388593577,7.46489374066991e-66,E-Glass-Epoxy,39.9163249519086,50,30
0.8315896769136139,1.668450275620677,1.7999999999999998,185.18819247354864,7.7601472000656795,2.3090661251350662e-64,E-Glass-Epoxy,39.9163249519086,53,30
0.8315896769136139,1.7825323457485867,1.923076923076923,185.18819247354864,7.71909359553753,1.2910885428601688e-57,E-Glass-Epoxy,39.9163249519086,57,30
0.8315896769136139,1.8966144158764962,2.046153846153846,185.18819247354864,7.668701331059524,1.8530514504669213e-58,E-Glass-Epoxy,39.9163249519086,61,30
0.8315896769136139,2.010696486004406,2.169230769230769,185.18819247354864,7.467223814773589,4.356674775083012e-57,E-Glass-Epoxy,39.9163249519086,65,30
0.8315896769136139,2.1247785561323154,2.292307692307692,185.18819247354864,7.329710075575099,3.639732885628e-56,E-Glass-Epoxy,39.9163249519086,68,30
0.8315896769136139,2.238860626260225,2.4153846153846152,185.18819247354864,7.244058032361348,1.9953966972293782e-58,E-Glass-Epoxy,39.9163249519086,72,30
0.8315896769136139,2.3529426963881344,2.5384615384615383,185.18819247354864,7.199286330662479,2.2073742844435825e-60,E-Glass-Epoxy,39.9163249519086,76,30
0.8315896769136139,2.467024766516044,2.6615384615384614,185.18819247354864,7.1831472529571885,5.8008358837282826e-64,E-Glass-Epoxy,39.9163249519086,79,30
0.8315896769136139,2.5811068366439534,2.7846153846153845,185.18819247354864,7.168100319967164,1.8492604414281212e-60,E-Glass-Epoxy,39.9163249519086,83,30
0.8315896769136139,2.695188906771863,2.9076923076923076,185.18819247354864,7.081808619362076,1.3643712846534194e-66,E-Glass-Epoxy,39.9163249519086,87,30
0.8315896769136139,2.809270976899773,3.030769230769231,185.18819247354864,7.020481157566263,1.4503680163685073e-66,E-Glass-Epoxy,39.9163249519086,90,30
0.8315896769136139,2.9233530470276823,3.1538461538461537,185.18819247354864,6.981345694518043,1.234734286685038e-63,E-Glass-Epoxy,39.9163249519086,94,30
0.8315896769136139,3.037435117155592,3.276923076923077,185.18819247354864,6.960741432260284,5.112982657446853e-63,E-Glass-Epoxy,39.9163249519086,98,30
0.8315896769136139,3.1515171872835013,3.4,185.18819247354864,6.953310618494092,2.725917448579369e-72,E-Glass-Epoxy,39.9163249519086,102,30
0.8315896769136139,3.2655992574114108,3.523076923076923,185.18819247354864,6.948802596407256,2.4161912071983957e-68,E-Glass-Epoxy,39.9163249519086,105,30
0.8315896769136139,3.37968132753932,3.6461538461538456,185.18819247354864,6.904660372641484,8.566431132531366e-64,E-Glass-Epoxy,39.9163249519086,109,30
0.8315896769136139,3.4937633976672298,3.769230769230769,185.18819247354864,6.872492872340568,1.152986046487012e-57,E-Glass-Epoxy,39.9163249519086,113,30
0.8315896769136139,3.6078454677951397,3.8923076923076922,185.18819247354864,6.852047714197975,2.1692420112945563e-56,E-Glass-Epoxy,39.9163249519086,116,30
0.8315896769136139,3.721927537923049,4.015384615384615,185.18819247354864,6.841283032198577,1.4516990163796468e-52,E-Glass-Epoxy,39.9163249519086,120,30
0.8315896769136139,3.8360096080509583,4.138461538461538,185.18819247354864,6.837508469621505,6.689604402477606e-48,E-Glass-Epoxy,39.9163249519086,124,30
0.8315896769136139,3.950091678178868,4.2615384615384615,185.18819247354864,6.829157949428492,2.658530140662602e-43,E-Glass-Epoxy,39.9163249519086,127,30
0.8315896769136139,4.064173748306778,4.384615384615384,185.18819247354864,6.80397317539636,8.118140397825644e-44,E-Glass-Epoxy,39.9163249519086,131,30
0.8315896769136139,4.178255818434687,4.507692307692308,185.18819247354864,6.7855011001226,1.73224625435459e-41,E-Glass-Epoxy,39.9163249519086,135,30
