AR,kx0_FEA,kx0_CF
0.5,15.685788250199405,15.468981334887397
0.6153846153846154,11.134527758180258,10.5093458764313
0.7307692307692308,7.915170730422692,7.729628537897888
0.8461538461538461,6.026822890818731,6.030647801686651
0.9615384615384616,5.067683250889588,4.929685984070607
1.076923076923077,4.219974221046999,4.187739139837419
1.1923076923076923,3.7858838698164803,3.675492634074418
1.3076923076923077,3.3610554115504616,3.31802151638662
1.4230769230769231,3.0669567232839254,3.069481258860903
1.5384615384615385,2.9492803959838283,2.9005443830063458
1.653846153846154,2.8046362993501095,2.7917418813300645
1.7692307692307694,2.78369801831239,2.7297382113570556
1.8846153846153846,2.729146542018731,2.705150634946413
2.0,2.7096936596251866,2.711222257891677
2.1153846153846154,2.7767107051857223,2.7429871252433395
2.230769230769231,2.806887725806182,2.7967293767537402
2.3461538461538463,2.9129777247529316,2.869623787819852
2.4615384615384617,2.9804867025846424,2.959491363480084
2.576923076923077,3.0643570307160535,3.064629745895484
2.6923076923076925,3.215520016524978,3.1836933632897484
2.807692307692308,3.1094295268133867,3.1047327039732604
2.9230769230769234,3.037527802855093,3.00544388128057
3.0384615384615388,2.9366531611688846,2.924089660908479
3.153846153846154,2.853992829344043,2.8583543301690804
3.269230769230769,2.8252003053770154,2.8063234802464248
3.3846153846153846,2.7697327113831456,2.7664033559816628
3.5,2.7615390435396527,2.7372585009059542
3.6153846153846154,2.7276010284803767,2.7177631036714134
3.730769230769231,2.703576445850256,2.7069627101238973
3.8461538461538463,2.7196583781003314,2.7040438518565146
3.9615384615384617,2.7113278168240464,2.708309774378858
4.076923076923077,2.740129515290391,2.719160904025605
4.1923076923076925,2.7449522031913696,2.736079025016311
4.307692307692308,2.7559991105083137,2.758614382602043
4.423076923076923,2.8007759206138045,2.7863751098349963
4.538461538461538,2.8222067648719844,2.819018511537889
4.653846153846154,2.8760008691842844,2.856243841795483
4.769230769230769,2.8512976807550015,2.845668227123647
4.884615384615385,2.8066684327754072,2.8114799068531013
5.0,2.7929688036415135,2.7827413102581238
