AR,kx0_FEA,kx0_CF
0.5,7.143515187742753,6.25
0.6153846153846154,5.663176485515799,5.019323224852071
0.7307692307692308,4.927437435570648,4.406599845924371
0.8461538461538461,4.56866869988979,4.112670546236981
0.9615384615384616,4.427444309983799,4.006156213017752
1.076923076923077,4.426403057215006,4.022008211568651
1.1923076923076923,4.113326008759544,4.125031556132973
1.3076923076923077,4.306707052655968,4.294834258102823
1.4230769230769231,4.516740174292062,4.481451335791252
1.5384615384615385,4.330801273190501,4.281715976331361
1.653846153846154,4.207190277372175,4.1462138898045
1.7692307692307694,4.131701984563636,4.060427176429794
1.8846153846153846,4.095014273263602,4.014141204724855
2.0,4.08985976884062,4.0
2.1153846153846154,4.111269955409016,4.01259731527214
2.230769230769231,4.15526744405725,4.047887834291383
2.3461538461538463,4.21886344992017,4.102795842086097
2.4615384615384617,4.283321242690249,4.1585928511259045
2.576923076923077,4.22127863793852,4.0931499366777055
2.6923076923076925,4.178757666485009,4.047023843067798
2.807692307692308,4.152968306530919,4.017581623580007
2.9230769230769234,3.988552717759604,4.002699510636864
3.0384615384615388,3.9958975660312355,4.000649166226059
3.153846153846154,4.014103743958066,4.010012511728523
3.269230769230769,4.041821773596293,4.029617215954719
3.3846153846153846,4.078931308347249,4.058487307176119
3.5,4.100037447182757,4.0717474489795915
3.6153846153846154,4.075918256962743,4.041021165431358
3.730769230769231,4.060765601289211,4.019452617520931
3.8461538461538463,4.053134111252771,4.006156213017752
3.9615384615384617,4.0529596843735005,4.000373421709601
4.076923076923077,4.059429086417402,4.001451510466147
4.1923076923076925,4.072020648879101,4.008826317403502
4.307692307692308,4.090279380807751,4.022008211568651
4.423076923076923,4.11246548115922,4.040570582264181
4.538461538461538,4.116722911717589,4.037637011740827
4.653846153846154,4.007988473355786,4.020624100513714
4.769230769230769,4.00287889717499,4.008937989889723
4.884615384615385,3.9992024585871766,4.0021807938290435
5.0,4.001907915174091,4.0
