AR,kx0_FEA,BC,load
4.346048478729253,4.049392734753051,SS,axial
2.928666199706561,2.941047234684229,SS,shear
1.608246633504857,4.182226913153477,SS,axial
3.4051329447609016,4.759889852387079,CL,shear
3.613908428235492,4.7246022002228845,CL,shear
4.522619977847237,4.6491723262617715,CL,shear
2.5085680015746563,3.026501956751119,SS,shear
2.633480382521288,4.058229325241163,SS,axial
0.9820509535373152,4.768152523624066,SS,shear
4.894405412579303,3.9914225874377594,SS,axial
4.364977092653031,4.018470324170309,SS,axial
1.1379171168262092,6.61769694206959,CL,shear
3.97131874885538,3.9900193142288845,SS,axial
4.285189837761537,2.809769709114044,SS,shear
0.7561392316747955,10.568538100387915,CL,shear
2.4981686528036207,7.573742575720084,CL,axial
3.365847452223809,4.043158354927918,SS,axial
4.318493462265687,4.668578179775675,CL,shear
4.066644499187271,2.8204063128353147,SS,shear
1.7559386602373745,3.3784390603664463,SS,shear
2.8775241079189655,2.9476457454363825,SS,shear
3.219056603267551,7.343291380341902,CL,axial
1.3544870107915257,5.999801035042739,CL,shear
2.526721404878373,4.10826456986693,SS,axial
2.6693182710706327,4.044837550812854,SS,axial
3.325954285337484,7.31029749355283,CL,axial
0.6518363175837086,13.475280605542501,CL,axial
3.431932001695292,7.274952629480508,CL,axial
4.528148331411659,7.15438699761531,CL,axial
0.6787602338207592,12.566919882010012,CL,shear
1.0740419055427568,6.926849192340307,CL,shear
2.9519078372776826,2.9382598082330276,SS,shear
4.792523639464225,3.996358182248151,SS,axial
2.7142522399403313,4.0293879545153946,SS,axial
1.3086667205340743,4.286607814279916,SS,axial
4.3311017340576266,4.6674532496109755,CL,shear
1.5270256919437188,3.524797103969897,SS,shear
1.6157269765670577,3.4570309595019117,SS,shear
3.9003223844745305,2.832099788569181,SS,shear
1.7458570174803492,3.3831358622253402,SS,shear
3.2812138113439304,4.002141236826152,SS,axial
2.8052070635678934,7.411555676340018,CL,axial
4.5974251435468805,2.800728733794426,SS,shear
2.0518592856943485,5.135681349934413,CL,shear
