,Lx,Ly,AR,thick,E,nu,D,Sx,Sxy,Sy,eig1,eig2,eig3,eig4,eig5
0,1.0,1.0,1.0,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.728488390709867,17.15216726940608,32.21773605603301,42.597726736222654,51.45340468617157
1,1.0,1.009009009009009,1.009009009009009,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.729511470958034,16.966717753011384,31.752739926438213,42.60247964807671,51.0848564166989
2,1.0,1.018018018018018,1.018018018018018,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.732230888040407,16.786584504352916,31.300165513960923,42.61398690002567,50.728976806393696
3,1.0,1.027027027027027,1.027027027027027,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.736602656862875,16.611585948429585,30.859582724993192,42.632073797407585,50.38535181647897
4,1.0,1.0360360360360361,1.0360360360360361,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.74258469515175,16.441548350388278,30.430579970832508,42.65657318494992,50.05358520727397
5,1.0,1.045045045045045,1.045045045045045,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.750136725125154,16.276305412845442,30.012763221189083,42.687325063379845,49.733297632744915
6,1.0,1.054054054054054,1.054054054054054,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.759220182390285,16.115697897442377,29.605755113955087,42.724176220159144,49.424125785708405
7,1.0,1.063063063063063,1.063063063063063,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.769798128206832,15.959573268090875,29.209194116834375,42.766979891467024,49.125721593823364
8,1.0,1.072072072072072,1.072072072072072,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.78183516839961,15.807785355607466,28.82273373805859,42.815595436431515,48.83775146038792
9,1.0,1.0810810810810811,1.0810810810810811,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.795297376519045,15.66019404159179,28.44604178223367,42.86988803353123,48.55989554919709
10,1.0,1.09009009009009,1.09009009009009,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.810152221152212,15.51666496042909,28.078799649067758,42.92972839499891,48.29184710679944
11,1.0,1.0990990990990992,1.0990990990990992,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.826368498071078,15.377069218182912,27.72070167165676,42.994992494628434,48.033311782089
12,1.0,1.1081081081081081,1.1081081081081081,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.843916265776157,15.241283124674174,27.37145448441906,43.065561316930335,47.542812628754774
13,1.0,1.117117117117117,1.117117117117117,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.86276678333043,15.109187954840342,27.030776464388566,43.141320607086136,46.87612756734462
14,1.0,1.1261261261261262,1.1261261261261262,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.882892455024257,14.9806696946943,26.698397127811457,43.22216065519349,46.22537247469779
15,1.0,1.135135135135135,1.135135135135135,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.904266774694577,14.85561883007635,26.374056635119867,43.307976073537304,45.59004857408408
