,Lx,Ly,AR,thick,E,nu,D,Sx,Sxy,Sy,eig1,eig2,eig3,eig4,eig5
26,1.0,3.3636363636363638,3.3636363636363638,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,10.985265531625915,11.765992476655443,13.836665665474767,14.65687710487211,20.037240597653785
27,1.0,3.4545454545454546,3.4545454545454546,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.040234556567999,11.62468220328443,14.195355614898983,14.296908409465818,19.365652626644703
28,1.0,3.5454545454545454,3.5454545454545454,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.109196230085926,11.503877878590446,13.970022379685634,14.56886358427336,18.748798912745187
29,1.0,3.6363636363636362,3.6363636363636362,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.191232752077015,11.40184864858293,13.67330644138722,14.956776973797533,18.18146956336749
30,1.0,3.7272727272727275,3.7272727272727275,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.285540316891378,11.317032687532203,13.404010487787883,15.358767683613578,17.659002902985787
31,1.0,3.8181818181818183,3.8181818181818183,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.24805163592767,11.391408663898714,13.159704119690737,15.77453740008621,17.177282864939663
32,1.0,3.909090909090909,3.909090909090909,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.193685434950194,11.50820903780155,12.938235773048584,16.20382187991713,16.732665173940333
33,1.0,4.0,4.0,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.152850918475345,11.635383295744315,12.737695239158962,16.32191318781892,16.646387113509025
34,1.0,4.090909090909091,4.090909090909091,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.124583830201646,11.772434556472987,12.556381867923813,15.942146936533488,17.1020226886459
35,1.0,4.181818181818182,4.181818181818182,0.01,70000000000.0,0.33,6546.216286986124,6.035507895932016e-11,2.026072843053545e-10,-23999.99999999987,11.108023494366089,11.918919295631504,12.392777617704253,15.590793286941109,17.57054272999223
