AR,nx,ny,nelem,dt[s],lam0,lam1,lam2,lam3,lam4
1.0,5,5,25,0.34992527961730957,4.165805763534203,7.614520714535256,16.51129234384436,21.196429242904937,25.663569615527276
1.0,6,6,36,0.05255913734436035,4.174727466337268,7.23032116391153,16.498756989970797,16.89167561214838,22.756739338365183
1.0,9,9,81,0.17984247207641602,4.186620331232486,6.826436552107355,13.469085640790299,16.598729252848894,20.629115371006417
1.0,13,13,169,0.40329885482788086,4.19072274213473,6.679252360162429,12.44286058375091,16.668954159696106,20.05287994472815
1.0,18,18,324,0.5896420478820801,4.191107441063371,6.616596490901939,12.043025485107202,16.69958098707227,19.83613510696058
1.0,26,26,676,0.777510404586792,4.1890767964318245,6.579697791935996,11.826521382802985,16.709382761815903,19.52684963849318
1.0,36,36,1296,1.622157096862793,4.1856094033204405,6.561082949781159,11.731372960049677,16.703704282254225,19.21391852218422
1.0,51,51,2601,4.46632981300354,4.180572849790653,6.54780855776434,11.676871727249814,16.688058898582003,19.04371727998309
1.0,71,71,5041,9.55891227722168,4.175092082178234,6.538372237813885,11.647773296822361,16.668216979540528,18.959835861092294
1.0,99,99,9801,323,4.169736981336966,6.53096112718296,11.630215866830143,16.647756215056948,18.9141146206285143
3.0,15,5,75,0.839571475982666,3.999973459189838,4.442252236365955,4.71877061641651,5.54095120140828,7.3107598192343
3.0,20,6,120,0.7211849689483643,4.002063133326703,4.388223388826452,4.72377332827324,5.332322355402198,6.756022402378077
3.0,27,9,243,1.2393529415130615,4.020566452592765,4.39118404795303,4.726928722999316,5.273553581688652,6.554810693761873
3.0,36,12,432,1.929807424545288,4.024477551594956,4.382484263130774,4.728469823349094,5.228971022685896,6.435949763227414
3.0,48,16,768,4.590044975280762,4.026059237572978,4.377153502167289,4.728728259018701,5.20424723654295,6.371870271703189
3.0,65,21,1365,7.0246193408966064,4.0258960334414455,4.372778847203905,4.728065787633288,5.188537278226486,6.3336052225652075
3.0,87,29,2523,11.053014516830444,4.024857850851906,4.369872469311451,4.726356003358074,5.180090981780545,6.313883488116417
3.0,117,39,4563,22.57760453224182,4.022759425788821,4.366589344457142,4.724038981574001,5.1735642099877,6.3008870182711085
3.0,157,52,8164,2056.2236733436584,4.020057668500116,4.363221181983684,4.721238134456388,5.168419047360992,6.292193439126492
5.0,25,5,125,0.6044495105743408,3.9683864896920724,4.144690052346981,4.16919925268675,4.576266127119238,5.1434236699811064
5.0,32,6,192,0.7743823528289795,3.9729383897519654,4.128110559757204,4.178364189305261,4.515126654129532,5.088829784642804
5.0,42,8,336,1.4039101600646973,3.984591398832627,4.130248050072174,4.18841231818997,4.495683578901718,5.028919099635892
5.0,55,11,605,2.202176570892334,3.991693374638845,4.117247843826104,4.1880827806116265,4.482111528955112,4.980410498691865
5.0,95,19,1805,9.854192018508911,3.9938138944823613,4.1314998843131905,4.19661149267858,4.472897214887435,4.961269399582797
5.0,125,25,3125,21.824859380722046,3.9944263230514827,4.118171143834504,4.195468189784582,4.468218509668901,4.952303880258836
5.0,163,32,5216,38.054357051849365,3.992931060995846,4.12691437867832,4.195740130234083,4.465490482277785,4.947135627118856
5.0,214,42,8988,1403.967279434204,3.9912229146621923,4.1258431739984625,4.194413268710835,4.462369439671474,4.942776368334321
