Dstar,a0/b0,b/h,kx_0,E11,E22,nu12,G12,a,b,h,nx,ny
0.7777648880797181,1.7993140412063477,35.938026180849675,3.577341688811581,9101273386.345474,2005646995.208596,0.21562636504801924,1460212130.0953815,0.8006169050295463,0.3048638088599511,0.008483042650305713,52,20
0.2989851311124118,1.5286782455489343,35.83204942123006,3.096036827881903,21590235841.831566,4276551860.805921,-0.4820763713455409,2586334046.7502565,0.32694516140512464,0.14268158278264345,0.0039819542863799,45,20
0.9305445269695484,0.18961545128080154,68.62582367829017,33.338414851572686,80202639578.31248,17110143461.918135,-0.11331119015324875,18255064049.38359,0.14953409240415294,0.535960449176202,0.00780989459141098,20,5
0.06652246127103573,6.568385162171461,21.621650167797018,2.111406939331442,170814229488.48145,2099655072.5022109,-0.7907710058399612,1471386832.2123044,3.7205153341836192,0.18860381133181214,0.008722914757575535,60,20
0.5459165380544551,16.407833713480567,38.99450010677199,3.125627720716589,1719903438.7811875,10397943289.488491,-0.14844350669393358,2222086239.584604,3.821492302111025,0.3652099389056837,0.009365678182966615,60,20
0.05352918891633868,2.4392590504676983,37.448983421053285,2.237755714922673,9476310961.221966,45895995322.51418,-0.1334331225706592,3961826303.3266315,0.17759665784441236,0.10800919664084276,0.00288416898868666,32,20
0.21492727213893495,4.819179562792178,17.6715438533852,2.354253647093295,151899657637.2493,13181670251.072752,0.4172998431376498,2089899178.3843138,1.4098265928279425,0.15878007465686086,0.00898507091254761,60,20
0.15114612675542494,0.6571724482629107,59.32654621404195,3.6164027866318573,53645775137.35472,3184270695.4411616,-0.9145485163299752,2571483463.5201993,0.39882432296531095,0.29955108910393585,0.0050491914365484395,26,20
0.1135468043491894,1.941812059606281,29.837389386127764,2.187275716426215,32821078581.45777,9011677561.84001,-0.06680551258429968,1278974020.1641505,0.5769192374029327,0.21506563745737428,0.007207924080561964,53,20
0.38778863309129796,9.65119384193946,49.59334369980736,2.8110333204945817,109932320751.87334,21604342904.712223,0.22055150930941014,7135043398.482013,2.890282455712457,0.19939449534751122,0.004020589870980725,60,20
0.4100965459768322,17.413050078770823,60.383379058851496,2.8819132115790094,22582583673.151543,26186521069.58967,0.23692690309916054,2015380441.8015673,2.9644341836337467,0.17666194512156172,0.0029256717307817696,60,20
0.08911997021740131,8.334459669105916,35.89128731354507,2.1747002173408356,4115189169.9143515,7949512200.166322,-0.2387429270088739,1352756778.1541886,2.2315378428137875,0.31565631032420094,0.008794789319386572,60,20
0.41749026240162557,4.520906955770633,182.84926898817034,3.3082842694946217,134910984161.54808,12224122752.487444,-0.4680057049669329,11567171875.64315,6.079923445776974,0.7378450023008964,0.004035263615675883,60,20
0.3361863540562709,8.704564037126858,189.3602600470144,2.676986938762081,154726350950.00116,192722689261.84375,0.22047339106334363,8283160521.658191,2.192133990076587,0.2660493562490441,0.0014049904461632514,60,20
0.4472788377620557,1.5833091435238533,35.34745518895991,3.180813552671347,162005488115.65506,61112969762.00548,0.3519385225522558,12062140267.359024,0.6113271109097451,0.3025929823360014,0.008560530898714044,40,20
0.32035106147933834,6.005005629335746,143.8199998440355,2.686065897016347,3993790216.50185,80420602682.52075,-0.0025126872270500034,2972012279.847832,2.2767391159099124,0.803147605484587,0.005584394426057254,56,20
0.09235821766849381,0.6048330217002744,44.327621782894695,3.6539890842831344,81912947963.17366,9309020538.977377,-0.10299687053236795,1756704689.9737768,0.40228194330754574,0.3861738869554367,0.008711811539243346,20,20
0.12103831089240435,1.2005035951595568,184.0526502043042,3.3402168611301297,36010709148.20998,16921309474.871702,-0.8855137330660188,14228664866.300232,1.067076277671419,0.7359233347192616,0.003998439217812749,28,20
0.6289375884787487,6.7547369452977275,14.498823230813368,3.132142889091278,168343255327.23325,30053942485.42954,0.02912122383896676,21933664804.3107,1.158530276895611,0.11148729539764213,0.007689403037944881,60,20
0.414802751434529,0.8890374340419414,25.548882055497042,2.7947086195645268,16999640062.959198,5014918711.454568,-0.7832353706183575,4735982345.129347,0.27753991813034057,0.2300707726038888,0.009005120932654948,24,20
0.2699914563329655,7.913089806553205,91.90465691343742,2.5852629926815616,3558109915.5862513,21781690353.208977,-0.08311555262977299,2186083052.463888,0.6846564552568083,0.13609578269495143,0.0014808366329372893,60,20
0.27742939252081134,6.13825456636504,162.30213182868974,2.7756323475373126,177360685785.10153,133913522196.24321,0.2669075138820838,3705889026.7581625,2.24511817935683,0.3409463765842401,0.0021006894533222137,60,20
0.26021887179163306,4.198292477215093,61.08170826910457,2.6469245736468827,110221908363.20807,37328912175.9899,0.377927616979044,1357607908.536105,0.7857480348356307,0.14277591916980475,0.0023374578612108256,60,20
0.4606340587826558,6.76474114181348,55.79615619192354,2.930893678511669,11887816734.828207,6017086095.350764,0.23770579010962778,1269062846.3503509,4.195048382381648,0.5230663989542298,0.009374595575276265,60,20
0.3034565322658365,2.4220091564472184,11.841226008881913,2.04421610806695,9419400782.682531,37589800470.22139,0.059074181675121684,1769394348.6662974,0.1770439737699583,0.10331587407504514,0.008725099410952005,34,20
0.2098698985212401,8.464572202916337,161.49906685326448,2.798693875067984,137613296686.5928,15402591654.099615,0.20377503991106916,3277012294.251138,5.441747650370011,0.3718491004632495,0.00230248451405051,60,20
0.7617546885584368,17.5536348688886,151.267016008428,3.582264856206365,4941968427.321041,20529925547.327732,0.27657466327239666,1461991063.3436759,3.1485764463357713,0.2560760922765465,0.0016928746202164717,60,20
