Dstar,a0/b0,a/b,b/h,kmin,error,material,ply_angle,nx,ny,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20
0.8619090714637407,0.2656041905316449,0.3230769230769231,69.25821873084752,58.37090749145905,2.569116938473764e-52,torayBT250E,19.228075184822856,25,52,-78.0401044767067,78.04010444576572,65.15080834164337,-65.15080834798962,-92.6892960631853,92.68929610607243,142.64590393136692,-142.64590391732028,-142.64590391732028,142.64590393136692,-92.6892960631853,92.68929610607243,142.64590393136692,-142.64590391732028,-58.37090749145905,58.37090749337842,142.64590393136692,-142.64590391732028,-144.18901151437592,144.1890114986342
0.8619090714637407,0.3667867393056048,0.4461538461538461,69.25821873084752,33.166143123239706,8.580046994602984e-64,torayBT250E,19.228075184822856,25,47,-33.56129629186223,33.561296290506135,33.166143129538845,-33.166143123239706,-40.25405301630639,40.25405300319286,54.827467271380705,-54.82746726762743,-71.47768396712516,71.47768397482797,-53.94729964502429,53.947299655079334,119.79687628791285,-119.79687611648488,-111.32031371396546,111.32031366132821,71.47768397482797,-71.47768396712516,-130.88350626193386,130.8835062531384
0.8619090714637407,0.4679692880795648,0.5692307692307692,69.25821873084752,21.714296249655753,1.2007408938621317e-70,torayBT250E,19.228075184822856,25,40,-21.714296249655753,21.71429624978666,22.30003761881551,-22.300037619010425,-30.29723034838778,30.297230348329958,30.206316012131804,-30.20631601209043,-42.96408240630761,42.96408240651966,-46.268191386443554,46.268191386087175,63.292649110087964,-63.29264910972208,-68.98849243030612,68.98849243034898,42.96408240651966,-42.96408240630761,-46.268191386443554,46.268191386087175
0.8619090714637407,0.5691518368535247,0.6923076923076923,69.25821873084752,15.77534758026883,5.321088904937631e-102,torayBT250E,19.228075184822856,26,37,-15.775347584518968,15.77534758026883,16.179500632956078,-16.179500629753438,-25.72829947537036,25.72829947269668,23.557588388737802,-23.5575883908978,-38.54151965252674,38.54151965571978,-41.21944499782898,41.21944500513359,23.557588388737802,-23.5575883908978,-48.58932047787345,48.58932046463562,38.54151965571978,-38.54151965252674,-41.21944499782898,41.21944500513359
0.8619090714637407,0.6703343856274847,0.8153846153846154,69.25821873084752,12.232590383570782,6.385040963585805e-76,torayBT250E,19.228075184822856,28,34,-12.58780253786009,12.587802537897991,12.232590383611347,-12.232590383570782,-22.7814870467503,22.781487046759747,20.505279938269027,-20.505279938343442,-20.505279938343442,20.505279938269027,-22.7814870467503,22.781487046759747,35.667487779971474,-35.66748778003386,-73.66828114874765,73.66828114773351,75.42164100045437,-75.42164100004507,-55.41992133274935,55.41992133319789
0.8619090714637407,0.7715169344014446,0.9384615384615385,69.25821873084752,9.757646954881942,1.77662600347079e-77,torayBT250E,19.228075184822856,30,31,-10.673340733938137,10.673340733958531,9.757646954908733,-9.757646954881942,-20.615664081938146,20.615664082004855,18.963105082308346,-18.963105082305997,-32.603761163119344,32.603761163207224,-34.34588716027429,34.34588716027233,32.603761163207224,-32.603761163119344,-57.78469087299703,57.78469087339129,47.31745401180764,-47.31745401167294,-49.973411007727364,49.973411007793125
0.8619090714637407,0.8726994831754046,1.0615384615384615,69.25821873084752,8.207131117542762,3.081902053329862e-77,torayBT250E,19.228075184822856,31,30,-9.36746772184166,9.367467721957157,8.207131117551567,-8.207131117542762,-18.95568185401871,18.955681854058785,8.207131117551567,-8.207131117542762,-17.831910337641983,17.831910337580926,-18.95568185401871,18.955681854058785,28.80216540634055,-28.802165406200924,-46.88254237764918,46.88254237776667,60.23854761137176,-60.23854761126993,-18.95568185401871,62.46453701501581
0.8619090714637407,0.9738820319493645,1.1846153846153846,69.25821873084752,7.215415993476482,6.844144302233635e-149,torayBT250E,19.228075184822856,34,29,-8.380043357084345,8.380043357078888,7.215415993476482,-7.215415993485716,-17.477302732004222,17.47730273203043,7.215415993476482,-7.215415993485716,-39.28047646351602,39.28047646333263,-17.477302732004222,17.47730273203043,25.61046795006491,-25.610467950098283,-64.25408450595033,64.25408448826775,39.28047646333263,-39.28047646351602,-17.477302732004222,17.47730273203043
0.8619090714637407,1.0750645807233243,1.3076923076923075,69.25821873084752,6.58664315175127,9.105019625474498e-159,torayBT250E,19.228075184822856,35,27,-7.61349604250053,7.613496042519166,6.58664315175127,-6.586643151758094,-7.61349604250053,7.613496042519166,6.58664315175127,-6.586643151758094,-6.586643151758094,6.58664315175127,-36.8919188973375,36.89191889717771,23.42589512504988,-23.42589512506604,-54.543043617326276,54.54304361724019,14.82304036035378,-14.823040360340585,-15.674702722507462,15.674702722591102
0.8619090714637407,1.1762471294972843,1.4307692307692306,69.25821873084752,6.172727870365019,1.7015570107835275e-72,torayBT250E,19.228075184822856,37,26,-6.987126588366852,6.987126588450671,6.172727870384128,-6.172727870365019,-6.987126588366852,6.987126588450671,6.172727870384128,-6.172727870365019,-6.172727870365019,6.172727870384128,-33.679214591478775,33.67921459021086,21.639588844329047,-21.639588844081754,-47.509666246879014,47.50966624262976,6.172727870384128,-6.172727870365019,-46.749581492325355,46.749581497905695
0.8619090714637407,1.2774296782712442,1.5538461538461537,69.25821873084752,5.9026330129122515,1.7976618971157572e-176,torayBT250E,19.228075184822856,38,25,-6.4862108992166165,6.486210899198842,5.9026330129122515,-5.902633012928045,-30.84237702304139,30.842377022864934,5.9026330129122515,-5.902633012928045,-5.902633012928045,5.9026330129122515,-42.792210294759414,42.792210294602306,29.189357292864877,-29.18935729298025,-39.03947363872203,39.03947363846251,5.9026330129122515,-5.902633012928045,-42.792210294759414,42.792210294602306
0.8619090714637407,1.3786122270452041,1.6769230769230767,69.25821873084752,5.72214951134539,1.1714704381649242e-68,torayBT250E,19.228075184822856,40,24,-11.42587304935433,11.425873049397559,5.722149511371178,-5.72214951134539,-28.298763743877082,28.298763743803,5.722149511371178,-5.72214951134539,-5.72214951134539,5.722149511371178,-39.37717104692043,39.37717104561865,26.83039360704232,-26.8303936072435,-34.41344459988634,34.41344460031293,5.722149511371178,-5.72214951134539,-39.37717104692043,39.37717104561865
0.8619090714637407,1.479794775819164,1.7999999999999998,69.25821873084752,5.599560092279464,2.7682595388189794e-187,torayBT250E,19.228075184822856,41,23,-17.66241237672703,17.66241237549419,5.599560092279464,-5.59956009241858,-26.10076529756063,26.10076529714953,5.599560092279464,-5.59956009241858,-5.59956009241858,5.599560092279464,-26.10076529756063,26.10076529714953,24.867022454215885,-24.8670224537621,-30.738316078839297,30.738316079006722,5.599560092279464,-5.59956009241858,-17.099857651264237,17.099857680738936
0.8619090714637407,1.580977324593124,1.923076923076923,69.25821873084752,5.509739400933231,4.3075991592861124e-63,torayBT250E,19.228075184822856,42,22,-15.890070829865987,15.890070829915683,5.509739400958908,-5.509739400933231,-33.35044061614962,33.350440616090054,5.509739400958908,-5.509739400933231,-5.509739400933231,5.509739400958908,-33.35044061614962,33.350440616090054,31.974754355928038,-31.974754355915138,-40.9389301517587,40.87515004425269,5.509739400958908,-5.509739400933231,-15.890070829865987,15.890070829915683
0.8619090714637407,1.6821598733670842,2.046153846153846,69.25821873084752,5.336696229815115,5.1723295361418263e-61,torayBT250E,19.228075184822856,45,22,-22.075778173915666,22.075778174030276,5.42288619092492,-5.4228861909337,-30.646661361750972,30.646661361538797,5.42288619092492,-5.4228861909337,-29.43120900742521,29.431209007410814,-30.646661361750972,30.646661361538797,29.431209007410814,-29.43120900742521,-36.24977322866809,36.2497732287833,21.126952154130198,-21.12695215411831,-14.558143223128125,14.55814322315053
0.8619090714637407,1.783342422141044,2.169230769230769,69.25821873084752,5.200699962132913,3.0869421749672306e-60,torayBT250E,19.228075184822856,45,21,-20.602988690997783,20.60298869100918,5.3536026807097565,-5.353602680720453,-28.587876287024184,28.587876286958615,5.3536026807097565,-5.353602680720453,-27.50965100744756,27.509651007247815,-28.587876287024184,28.587876286958615,27.509651007247815,-27.50965100744756,-33.384907356881534,33.38490735661892,-27.50965100744756,27.509651007247815,-13.495860194260883,13.495860194249031
0.8619090714637407,1.884524970915004,2.292307692307692,69.25821873084752,5.102621516733144,9.364942927355005e-58,torayBT250E,19.228075184822856,45,20,-26.701015504866742,26.70101549777995,5.283762556594937,-5.283762556606214,-18.699186415386322,18.699186414237808,7.415901246171694,-7.415901245870704,-25.723191378446305,25.723191371434684,-18.699186415386322,18.699186414237808,34.38939963805097,-34.38939964705691,-31.068905986194682,31.068906004454007,7.415901246171694,-7.415901245870704,-18.699186415386322,18.699186414237808
0.8619090714637407,1.985707519688964,2.4153846153846152,69.25821873084752,5.019250360630148,0.0,torayBT250E,19.228075184822856,48,20,-24.666273316353237,24.666273316849793,7.1627421675514045,-7.162742167349438,-32.858473491863236,32.85847348406308,7.1627421675514045,-7.162742167349438,-31.808131657481344,31.80813165226365,-32.858473491863236,32.85847348406308,31.80813165226365,-31.808131657481344,-28.91038709450399,28.910387086757382,7.1627421675514045,-7.162742167349438,-17.391995739587006,17.39199574152771
0.8619090714637407,2.0868900684629237,2.5384615384615383,69.25821873084752,4.973984054196811,0.0,torayBT250E,19.228075184822856,48,19,-23.42734561385013,23.427345602219805,6.989967519666316,-6.989967573462555,-30.920107296719515,30.920107217973626,6.989967519666316,-6.989967573462555,-22.169820384929878,22.169820381016752,-22.408650040684456,22.408650031184088,29.953440952296123,-29.953441003435266,-27.73692031155096,27.736920244771355,22.169820381016752,-22.169820384929878,-22.408650040684456,22.408650031184088
0.8619090714637407,2.188072617236884,2.6615384615384614,69.25821873084752,4.930242619894125,1.9552015026387482e-264,torayBT250E,19.228075184822856,50,19,-28.75650156060724,28.756759943608774,6.822378220047248,-6.822366938696983,-21.0350014528343,21.035008496108485,6.822378220047248,-6.822366938696983,-6.822366938696983,6.822378220047248,-21.0350014528343,21.035008496108485,27.856939673793658,-27.856735954643792,-26.607284487118953,26.60761706277102,20.630920720166735,-20.630894374385566,-21.0350014528343,21.035008496108485
0.8619090714637407,2.289255166010844,2.7846153846153845,69.25821873084752,4.915725675374716,0.0,torayBT250E,19.228075184822856,50,18,-27.281255772044886,27.281255770489285,6.693771659049742,-6.693771658896172,-19.887368784815205,19.887368783861817,6.693771659049742,-6.693771658896172,-9.15587036531691,9.155870365209928,-19.887368784815205,19.887368783861817,25.959091256261573,-25.959091249058503,-18.65905688242485,18.65905688098585,9.155870365209928,-9.15587036531691,-19.887368784815205,19.887368783861817
0.8619090714637407,2.3904377147848037,2.9076923076923076,69.25821873084752,4.891055601928944,0.0,torayBT250E,19.228075184822856,52,18,-25.985390711651384,25.985390711696894,6.539480798120929,-6.539480798046382,-24.65102829460253,24.651028294624165,24.383376200064067,-24.383376200060255,-24.383376200060255,24.383376200064067,-24.65102829460253,24.651028294624165,24.383376200064067,-24.383376200060255,-18.094142844584713,18.094142844601382,24.383376200064067,-24.383376200060255,-24.65102829460253,24.651028294624165
0.8619090714637407,2.491620263558764,3.0307692307692307,69.25821873084752,4.855670605217697,0.0,torayBT250E,19.228075184822856,54,18,-12.484167139482611,12.484167139492364,8.490938473667509,-8.490938473600758,-23.166276640550233,23.166276640600298,8.490938473667509,-8.490938473600758,-8.490938473600758,8.490938473667509,-23.166276640550233,23.166276640600298,8.490938473667509,-8.490938473600758,-18.598085139250948,18.598085141499997,22.877685113549592,-22.877685113727054,-23.166276640550233,23.166276640600298
0.8619090714637407,2.5928028123327236,3.1538461538461537,69.25821873084752,4.828426771005287,0.0,torayBT250E,19.228075184822856,53,17,-16.294713027109047,16.294713027067456,8.288467181596905,-8.288467181569683,-22.125032431519386,22.125032431600133,8.288467181596905,-8.288467181569683,-8.288467181569683,8.288467181596905,-22.125032431519386,22.125032431600133,8.288467181596905,-8.288467181569683,-18.72669066898585,18.726690669007066,8.288467181596905,-8.288467181569683,-22.125032431519386,22.125032431600133
