Dstar,a0/b0,b/h,kx_0,error,E11,E22,nu12,G12,a,b,h,nx,ny
0.7261057483934459,0.7015527379982877,78.90979422172782,3.573891513795515,0.0,74522895361.27542,102336159043.39902,0.2713197915024446,19826425998.836052,0.31174569809751745,0.4810331356628069,0.006095987708587312,30,46
0.15673182363698138,0.7616777234365761,36.79082521205098,12.231593696647158,2.2019668153663318e-120,179704780572.4705,23779191493.51047,0.11801197141741185,3726530948.558025,0.2332925092370294,0.18473062672543047,0.0050211058235497584,37,30
0.6328273654454221,1.2610312017097318,29.54109156108244,1.122803149052282,2.661371283771321e-13,15534146783.556307,20591465992.679707,0.36083937154858403,2349431597.0306287,0.30624853272817987,0.26058424210432607,0.0088210769587005,35,30
0.16118699649517837,1.3105174047535666,35.094084913961446,4.078446068808441,0.0,193235748758.45404,43879558459.59293,0.11953711360173253,4814215533.080268,0.24592833091319682,0.129541661438752,0.003691267681044921,56,30
0.7007464755449282,1.4475999665650352,61.66793413434799,5.330466759450835,0.0,4475850962.312817,64743330419.77119,0.13931771818897412,2022193451.8658288,0.14449274405376633,0.19466027347009937,0.0031565882042686576,30,40
0.3397641055170964,0.4011102460488379,72.48075367544425,15.530950481381547,2.6844756868900818e-89,122860562414.05772,56147222409.84148,0.2758885613015418,6593878707.12867,0.10995743988499504,0.22539268039983582,0.003109690075921446,30,61
0.4745256291127078,3.8634275960159594,35.516668257442774,2.7434745002108136,2.5127908954019044e-13,30883525639.63971,148721542196.99454,0.18516425141009846,2767800549.42289,0.3192309501365678,0.12240353621663431,0.0034463687677400248,78,30
0.14721380765035383,1.4284056616679774,54.69416622051536,1.1784562222156736,1.6946883357607585e-13,109805221017.47055,46244725666.216736,0.16216709754529834,1512251614.46281,0.5045687070089127,0.2845630805872005,0.0052028049836229705,53,30
0.7903917211749911,0.8381374898359772,66.76618341924767,3.8454796262316795,0.0,28863297814.406277,1873023102.2818902,0.38322545142151865,2571351840.0653768,0.9919072460987666,0.5973172978131877,0.00894640471003754,49,30
0.559383427153686,2.421101901322449,54.53410542629378,8.959387880517099,1.9231109064970936e-134,14694898494.949677,143987080771.42328,0.11362256026943474,5363873044.801455,0.14507201870764264,0.10601316969174453,0.0019439792559727215,41,30
0.9025255506303076,0.1274471522261476,45.09229160692725,21.668367554222883,2.5788678064173605e-76,177286993017.69672,7259148545.103872,0.1095898437460956,15798660385.546412,0.11847178927940853,0.418154730593294,0.009273308490027051,30,105
0.1727949360137025,6.579358175787035,78.05563613312728,2.2987111630319483,0.0,62687881710.97719,23305371914.633533,0.17950559748978218,1225288389.7484384,1.3428752345845418,0.15937501756660719,0.002041813063886715,120,30
0.5871121296597939,1.8758835887426402,88.19805590928101,4.092939554719724,0.0,29588709647.8283,18758841226.64272,0.1989033090174058,5180370069.620654,0.5816239880812746,0.2766664014492962,0.0031368764152111296,63,30
0.5529266950587314,3.753656028946419,34.99264207127526,8.989657132741224,3.833552008703992e-104,15962372073.05732,1436637825.7762928,0.12474427620302893,1236039392.3504753,0.7349259508425185,0.10723870892891046,0.003064607374043942,120,30
0.9155649631036602,4.169840325618956,91.39440672202268,1.835328687520919,5.686348644280821e-14,91152715343.82344,35888174230.94906,0.34696619692247604,20950002699.622433,1.8755792557199165,0.3562964000097419,0.0038984486336611623,120,30
0.22350123012521847,4.059416495494102,47.38995842114245,8.734126120639344,0.0,62713493039.21846,5208524696.042459,0.3769817562561847,1050342110.9210085,1.5563915906297345,0.20582290218440738,0.0043431754118733725,120,30
0.6937435766742457,1.6595918363598283,92.5339788926828,3.4993286008282403,0.0,15406182745.34839,27943026567.387993,0.35405803509832146,2912510587.253289,0.471750831152158,0.3298799984153797,0.0035649607026837274,42,30
0.9086435908304428,5.416717488440961,55.32751253538689,4.979616899974924,0.0,148089293987.77634,87131447066.94983,0.28682978561045636,41101100723.9738,0.7924661016545022,0.12813191728721118,0.002315880678808023,120,30
0.3833744295664808,0.4511428068478767,52.65788226327838,5.023907916093292,6.211017063497803e-69,41312176107.06065,25564101852.80463,0.2256249269056107,3454282315.8630834,0.19250623981542792,0.3784590463509079,0.007187130018991116,30,58
0.381827907792813,5.525616378453758,23.27631952869708,2.7958380278493062,6.581706083290243e-14,159534632414.10098,28633857534.1951,0.3602523275063255,7930450236.100661,1.7042961186141483,0.2007569299166294,0.008624943031440978,120,30
0.3517566469519908,3.0969516406740802,60.07055833326317,1.6494780297168412,3.868071751309642e-13,35989338364.2862,7247050485.868127,0.3683388445095117,1548009220.0473647,1.1391546630114098,0.24640250827653487,0.004101884768733591,120,30
0.32245906329221563,0.8312929891070058,63.89046408080986,1.1236288508201733,0.0,73026169900.53362,163661254223.24353,0.15608400157945518,5133980938.1803,0.32695508840551246,0.4812279249234896,0.007532077468005608,30,44
0.15714344441941067,5.352246168513099,49.725699642728536,2.509688527880546,2.6982545060364037e-13,132567548401.66013,98042730374.92377,0.15018234360557964,1622540649.5619395,1.2680740979973155,0.21971165466892087,0.004418472867099209,120,30
0.6142802762543941,0.26437607023127824,65.63968946400347,2.058283370171681,2.278619786177744e-13,26637609466.098106,14907022059.29161,0.1976184829957258,4751285531.467693,0.15380512960013706,0.5031790940429239,0.007665775053961296,30,98
0.20931580201177402,0.5101220127019551,45.166954629341525,4.927500101861755,0.0,148014664478.17615,15203727272.24087,0.20175011743521404,3445501884.5544643,0.20364266722881946,0.22599875332005429,0.0050036305341967895,30,33
